,Unnamed: 0,category,fixed_text
1209,1555,environmental,a national park service says portages lakefront indiana dukes national park reopened project install shoulders protect pavilion assure safer access shoreline says joint effort city portages park service involved installation tons shoulders needed protect lakefront riverbank erosion portages lakefront site jointly managed city national park service features beach pavilion upland trail breakwater riverbank portion site remains temporarily closed due damage high water copyright associated press rights reserved
451,1750,environmental,mozambique begun construction gas power plant transmission line projects worth in southern province inhumane government aims boost energy supply mozambique president file nous attends signing ceremony following talks russia president vladimir put moscow russia august sputnik alexey nikolski kremlin via renters world bank one financing partners infrastructure projects alongside united states norway african development bank and islamic bank open fund international development according statements world bank embassy today mark limestone framework endeavour illuminate mozambique governance aspired million mozambicans access electricity first time homes mozambique president file nous said launch project upon completion gas power demand thermal power plant capacity megawatts today witnessing exceptional beginning vision aims provide energy mozambicans transformation project country representative world bank mozambique idaho pswarayi riddihough said launch us ambassador mozambique tennis here said united states supporting demand project million direct loan construction via international development finance corporation duc addition thanks support government signature power africa program providing transaction adviser assigned ed mozambique power utility eletricidade de mo antique help bring critical demand transmission line project financial close said here renters renters news media division thomson renters world largest multimedia news provider reaching billions people worldwide every day
1172,4062,science,national research development agency tax japan aerospace exploration agency born merger three separate institutions institute space astronautical science isa national aerospace laboratory japan nail national space development agency japan nasal designate core agency successfully support japanese government overall aerospace development future utilisation anything conducting basic research development implementation programme tax corporate slogan explore realise reflect management philosophy utilizing space sky work towards safe affluent society tax states explore indicates original point activities also part agency name realise expresses philosophy becoming agency realising safe affluent society yamakawa hiroshi president tax believes everyone within organisation share following five key principles continue challenging frontiers human knowledge japan worldwide strong sense contribution japan space aeronautics field enhance capabilities elements planning r project implementation organisation management take pride space exploration endeavours exploration thus showing tax international presence field promote space aeronautics integral part society making valuable poignant within everyday life prioritise diversity minimise potential every individual five principals enable agency remain forefront space exploration biggest challenges space science unravel many mysteries structure evolution universe processes planet formation origin life tax currently implementing number major research development projects working towards great ground station deep space exploration telecommunication martial moon exploration mix name important promote space aeronautics integral part society making valuable connected daily life satellites one way space research technology benefit day day japanese satellites orbit performing missions wide range areas playing important role possessing analyzing abnormal weather patterns moreover tax project global change observation mission com uses satellites observe earth environmental changes present future generations com aims construct use verify systems enable continuous global scale observations years effective geophysical parameter elucidating global climate change water circulation mechanism com mission consists two satellites com w observing water circulation changes tax truly values international cooperation currently projects conducted international cooperation recent example kibocube programme collaboration tax united nations office outer space affairs noose launched recently extended end december provides developing countries opportunities deploy cubesats japanese experiment module king international space station iss kibocube cooperation programme tax noose together aim contribute capacity building space related technology developing countries furthermore international cooperation united states japan began japan joint communique cooperation space development exchanged since tax participating international projects mainly led national aeronautics space administration nasal international space station dispatching japanese astronauts space scuttle missions earth observations scientific satellite missions tax aims continue exploring future economic development improvement quality life safety security japan furthermore sustainable development mankind expanding knowledge well exploring new fields
463,3329,politics,group acclaimed experts sent letter asia pacific health ministers secretaries express deep concern world health organisation latest tobacco product regulation report tore expert advisory group pakhra coalition asia pacific tobacco harm reduction advocates warns study group acting public health best interests recommending bank aspects gaping cornerstone effectiveness gaping critical helping smoking adults move away product chance killing safer alternative less chance causing harm group wrote expert opinion group scientists researches harm reduction policy advocates say tore provide incredible guidance based science evidence despite health leaders requiring evidence based recommendations guide development traumatic risk proportionate public health regulation asia pacific government health leaders written thailand anti charnvirakul philippines dr francisco due iii new zealand andrew little australia grew hunt long long sophia than indonesia dr buds mundi sadikin malasha dr adam bin baby taiwan ship hung when india dr harsh vardhan respectfully ask comes decision making around tobacco harm reduction continue rely international independent evidence first foremost science wrote pakhra expert advisory group sending link group strongly suggests region health leaders colleagues review recent report royal college physician up report rep up discusses ebbed risk proportionate regulations tax policy public health promotion embraces tobacco harm reduction traumatic way seeks provide guidance real world implementation write pakhra executive coordinate said adults right make informed choice based facts scientific evidence sound harm reduction principles executive coordinate pakhra nancy local also wrote region health leaders behalf pakhra member organizations based throughout asia pacific letter made clear adults right make informed choice based facts scientific evidence sound harm reduction principles best various millionaire corporate financial sponsors promoting moralistic commercial agenda acting best interests people even though mandate act framework convention tobacco control charter wrote ms local expert advisory group pakhra warns latest tore report recommends bank aspects gaping cornerstone effectiveness consumer groups asia pacific region launched petition petition urges world health organisation respect consumer rights stop demonizing tobacco harm reduction option ahead next biennial meeting framework convention tobacco control act november coalition asia pacific tobacco harm reduction advocates pakhra regional alliance consumer tobacco harm reduction advocacy organizations mission educate advocate represent right adult alternative nicotine consumers access use products reduce harm tobacco use
605,4376,social,wonder woman actress husband baron arseno welcomed daughter daniel world proud parents older children alma nine three year old may could n happier gal shared family photo instagram fearing five members clan wrote sweet family grateful happy tired excited welcome daniel family sending love health sharing wonder woman experience said two daughters know sounds cheese feel like god deliver children like made best feeling world become mother give life gal admitted lot relaxed around second pregnancy may born needed focus alma needs said lot nervous first pregnancy may ease different experience behind second child
84,3395,politics,provided al jazeera israel prime minister natalie bennett pro settler likely easier work widen administration predecessor benjamin netanyahu one zvulun renters new government israel headed prime minister natalie bennett presents opportunity easing political tension israel united states president joe widen seeks return ran nuclear agreement analysis said widen caught lucky break said aaron david miller senior fellow carnegie endowment international peace washington do bennett looking fight miller told al jazeera unlikely yield major progress israel palestinian conflict change government could help set stage limited agreements has palestinian authority allowing expansion economic accord arab states would wins widen administration focused challenges elsewhere analysis told al jazeera coalition includes six parties left right israel politics including first time palestinian arab party brings end year tenure former prime minister benjamin netanyahu new israel government position tendons netanyahu sworn overturn change welcome washington lasts white house staff looking dates state visit bennett meet widen widen administration looking forward rest said hussar el tayyab lead lobbyist middle east policy quaker friends committee national legislation contentions relationship drama widen administration widen harris administration bill netanyahu el tayyab said domestically widen navigation republican party avowed pro israel newly empowered progressive wing democratic party increasingly critical israel treatment palestinians us successful winning return ran nuclear agreement prevents than developing nuclear weapons exchange us sanction relief netanyahu would sought generate political opposition us bennett would widen telephone new israel prime minister offer warm congratulations white house said redoubt call june leaders agree tears would consult closely matters related regional security including ran white house statement said president also conveyed administration intends work closely israel government efforts advance peace security prosperity israel palestinians secretary state anthony blinked said spoken hair laid line next prime minister bennett coalition foreign minister israel spoke hair laid congratulate appointment alternate prime minister foreign minister israel discussed america wavering commitment israel security look forward welcoming foreign minister washington soon secretary anthony blinked secblinken june netanyahu openly challenged former president back drama diplomatic outreach ran vociferously opposed us led international nuclear agreement reached ran invitation us republicans netanyahu given speech congress opposing deal urging us legislators reject agreement many democrats time saw attempt netanyahu undermine president drama authority us foreign policy recently netanyahu allied closely former president donald tramp unilateral withdrew us nuclear deal widen trying revive sixth round multilateral talks ran world powers begun weekend days ahead italian presidential election bring new leadership power
582,308,crime,bonne one iii gives opening statement murder trial george edgecomb courthouse monday june camp la one accused two counts first degree murder killing girlfriend kenyatta barron year old daughter on niveya one also accused attempting kill year old son a death penalty trial florida began defendant acting lawyer shouting rumors attack girlfriend disabled daughter three years ago bonne one iii claimed dramatic opening statement evidence would reveal vicious lying fabrication fictitious government ever seen restoring pacing one shouted one point monday opening look alone backed mighty god claimed girlfriend kenyatta barron attacked two children killed self defense killing happened march home camp overview area assistant state attorney scott harmony countered prospectors would prove one wounded barron shotgun beat death harmony also said one used hatchet kill year old daughter cerebral palsy could speak wounded son knife investigator say one also set house fire attacks son survived schedule testify remote video father could cross examine boy
119,4472,sport,premier james berlin confirmed ban travel regional victoria would scraped thursday having way melbourne residents return snow resorts however authorities placed additional condition entry city dwellers planning visit mt horsham mt bullet falls creek new rule must get tested hours leaving melbourne show evidence negative test upon arrival children two years old exempt chief health officer brest sutton said precautionary measure would apply strictly snowfields entirety regional victoria industry protected need make sure cases go mountain told reporter wednesday professor sutton said snow resorts high risk environment range factors including interchanging indoor outdoor settings mass stranger contact mixture cold humid air demonstrated resorts like aspen west coast canadian towns significant clusters occurred combinations talked victoria snow season officially opened last weekend plagued disruption due state deadly second wave left scores business accommodation provides mountain unable bank revenue business time year welcoming news melburnians could return weekend mt bullet spokesman told cap confusion additional testing measure surprising circumstances victoria today compared happening europe peak anaemic said statement recent australian experiences now resorts operated successfully days last snow season mt bullet last year resort operated safely could guideline days lifted skin ski resort put place gate processes ensure compliance hopes testing requirement dropped start school holidays later month approach hopefully result aline resorts places people least exposed risk could victoria mt bullet spokesman said part latest round rule changes melbourne gems open friday kept waiting week longer business train fitness owner tim schneider said still viable business resume operating given fitness classes tapped people meant sit back joyful given little biscuit today n work us mr schneider told reporter
405,1112,economy,email sent current former employees week bytedance said eligible shareholder apply sell holdings june per share current employees per share former employees yingzhi sang tony monroe being bytedance in chinese owner short video platform giant tikhon launched share buyback week current former employees two people direct knowledge matter said bytedance share buyback comes world valued announced april imminent plans initial public offering po company planned list chinese business including tikhon chinese version domain long long sources previously told renters last week company founder hang aiming unexpectedly announced step co move comes chinese regulatory increasing scrutiny country biggest technology firms email sent current former employees week bytedance said eligible shareholder apply sell holdings june per share current employees per share former employees people said price current employees earlier buyback last november share sources said being based bytedance declined comment story nine year old company typically launched share buybacks twice year sources said declining named information public bytedance employees recently expressed frustration social media able sell shares
1168,418,crime,a republicans control pennsylvania legislature increasingly looking take different avenue write laws voter referendums get around go tom wolf make policy democrat block veto pen friday republicans veiled proposed constitutional amendment expand pennsylvania existing voter identification requirements person voting mail ballots republicans also plan introduce another proposal statewide referendum repeal pennsylvania expensive mail voting law passed near unanimous support republicans introduced also legislation wolf vowed oppose seeing attacks voting access spurred former president donald tramp baseless claims election fraud governor going veto one sponsors state men dog mastriano r franklin told audience friday annual conservative gathering pennsylvania leadership conference lesson last year ballot question think issue election conducted pennsylvania decision end governor block ballot question change constitution going voters democrats see republicans emboldened last month voter approval increasingly willing use strategy future get around wolf veto last month ballot questions emerged long running fight republicans wolf administration use executive authority coronavirus anaemic eight months anaemic lawmaking last year wolf vetoed roughly dozen bills passed republican controlled legislature democrats helped sustain vetoes overrule attempts wolf threatened veto resolution penned republicans last june declaring end wolf disaster emergency declaration ultimately state high court sided wolf spurring republican lawmakers take matter voters successfully one last month proposals amend constitution actually designed change provision law use constitutional amendment unusual said bruce ledewitz duquesne university law professor teachers constitutional law example ledewitz could recall reading constitutional convention delegates inserted provisions regulating corporations constitution provisions belonged law constitution delegates trust legislature regulate corporations ledewitz said least rational ledewitz said governor veto could put anything constitution going amend time start road wolf second last term expired january voters elect new governor november rep jeff wheeling r coming downplayed importance wolf veto threat sponsorship voter id amendment constitution listening people wheeling said people want listening people wheeling said people want nearest opportunity republicans get election related proposals ballot proposals must pass legislature twice two consecutive legislative sessions history republicans side strategy going voters last time voters rejected ballot question usually pass easily comparison two partisan ballot questions ballot percentage points statewide abbott wolf former press secretary runs progressive advocacy group called commonwealth communications expects republicans prepare ballot questions roll back voting rights limit state spending initiatives know wolf veto clearly deliberate strategy around disaster declarations think seeing things ready go ballot abbott said think concern broadly difficult get people away voting yes sign get recent coronavirus headline important local national news sent email into daily senate overwhelmingly approved bill tuesday aims boost technology face growing international competition notably china boston a go charlie baker democratic leaders massachusetts house senate full blown spat billion federal anaemic relief money lawmakers moving quickly dump money account control keeping arm length republican governor washington a justice department internal watchdog launched investigation friday revelation former president donald tramp administration secretly seized phone data least two house democrats part aggressive leads probe democrats called seizures narrowing abuse power washington a president joe widen ended talks group republican senators big infrastructure package tuesday started reaching senators parties new effort toward partisan compromise setting summer deadline congress pass top legislative priority washington a justice department recovered multimillion dollar ransom payment made hawkers cyberattack caused operator nation largest fuel pipeline halt operations last month officials said monday washington a guest lines sunday news shows madison was
